country,flag,map,tags,population
Costa Rica,"<img src=""ug-flag-costa_rica-blur.svg"" /><img src=""ug-flag-costa_rica.svg"" />","<img src=""ug-map-costa_rica.png"" />","UG::North_America, UG::Sovereign_State",5213362
El Salvador,"<img src=""ug-flag-el_salvador-blur.svg"" /><img src=""ug-flag-el_salvador.svg"" />","<img src=""ug-map-el_salvador.png"" />","UG::North_America, UG::Sovereign_State",6884888
Guatemala,"<img src=""ug-flag-guatemala.svg"" />","<img src=""ug-map-guatemala.png"" />","UG::North_America, UG::Sovereign_State",17109746
Honduras,"<img src=""ug-flag-honduras.svg"" />","<img src=""ug-map-honduras.png"" />","UG::North_America, UG::Sovereign_State",9745149
Nicaragua,"<img src=""ug-flag-nicaragua-blur.svg"" /><img src=""ug-flag-nicaragua.svg"" />","<img src=""ug-map-nicaragua.png"" />","UG::North_America, UG::Sovereign_State",6595674
Panama,"<img src=""ug-flag-panama.svg"" />","<img src=""ug-map-panama.png"" />","UG::North_America, UG::Sovereign_State",4278500
Antigua and Barbuda,"<img src=""ug-flag-antigua_and_barbuda.svg"" />","<img src=""ug-map-antigua_and_barbuda.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State",100772
Dominica,"<img src=""ug-flag-dominica.svg"" />","<img src=""ug-map-dominica.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State",67408
Saint Vincent and the Grenadines,"<img src=""ug-flag-saint_vincent_and_the_grenadines.svg"" />","<img src=""ug-map-saint_vincent_and_the_grenadines.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State",110872
Somalia,"<img src=""ug-flag-somalia.svg"" />","<img src=""ug-map-somalia.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",18143379
Zanzibar,,"<img src=""ug-map-zanzibar.png"" />",UG::Africa,1889773
Ghana,"<img src=""ug-flag-ghana.svg"" />","<img src=""ug-map-ghana.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",30832019
Guinea,"<img src=""ug-flag-guinea.svg"" />","<img src=""ug-map-guinea.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",13261638
New Zealand,"<img src=""ug-flag-new_zealand.svg"" />","<img src=""ug-map-new_zealand.png"" />","UG::Oceania, UG::Sovereign_State",5199100
French Polynesia,"<img src=""ug-flag-french_polynesia.svg"" />","<img src=""ug-map-french_polynesia.png"" />",UG::Oceania,279890
Philippines,"<img src=""ug-flag-philippines.svg"" />","<img src=""ug-map-philippines.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State",110672000
Kosovo,"<img src=""ug-flag-kosovo.svg"" />","<img src=""ug-map-kosovo.png"" />","UG::Europe, UG::Sovereign_State",1798188
Libya,"<img src=""ug-flag-libya.svg"" />","<img src=""ug-map-libya.png"" />","UG::Africa, UG::Mediterranean, UG::Sovereign_State",6931061
Palau,"<img src=""ug-flag-palau.svg"" />","<img src=""ug-map-palau.png"" />","UG::Oceania, UG::Sovereign_State",16733
Saint Lucia,"<img src=""ug-flag-saint_lucia.svg"" />","<img src=""ug-map-saint_lucia.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State",178696
Bali,,"<img src=""ug-map-bali.png"" />",UG::Asia,4415100
Grenada,"<img src=""ug-flag-grenada.svg"" />","<img src=""ug-map-grenada.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State",112579
British Virgin Islands,,"<img src=""ug-map-british_virgin_islands.png"" />","UG::Caribbean, UG::North_America",31538
Turks and Caicos Islands,,"<img src=""ug-map-turks_and_caicos_islands.png"" />","UG::Caribbean, UG::North_America",46131
Cayman Islands,,"<img src=""ug-map-cayman_islands.png"" />","UG::Caribbean, UG::North_America",71105
Anguilla,,"<img src=""ug-map-anguilla.png"" />","UG::Caribbean, UG::North_America",15701
Azores,,"<img src=""ug-map-azores.png"" />",UG::Europe,236440
Curaçao,"<img src=""ug-flag-curacao.svg"" />","<img src=""ug-map-curacao.png"" />","UG::Caribbean, UG::North_America",148925
French Guiana,,"<img src=""ug-map-french_guiana.png"" />",UG::South_America,301099
Gibraltar,,"<img src=""ug-map-gibraltar.png"" />","UG::Europe, UG::Mediterranean",34003
Guernsey,,"<img src=""ug-map-guernsey.png"" />",UG::Europe,64234
Isle of Man,,"<img src=""ug-map-isle_of_man.png"" />",UG::Europe,84069
Jersey,,"<img src=""ug-map-jersey.png"" />",UG::Europe,107800
Kiribati,"<img src=""ug-flag-kiribati.svg"" />","<img src=""ug-map-kiribati.png"" />","UG::Oceania, UG::Sovereign_State",120740
Macau,"<img src=""ug-flag-macau.svg"" />","<img src=""ug-map-macau.png"" />",UG::Asia,673600
Madeira,,"<img src=""ug-map-madeira.png"" />",UG::Europe,250769
Marshall Islands,"<img src=""ug-flag-marshall_islands.svg"" />","<img src=""ug-map-marshall_islands.png"" />","UG::Oceania, UG::Sovereign_State",39262
Nauru,"<img src=""ug-flag-nauru.svg"" />","<img src=""ug-map-nauru.png"" />","UG::Oceania, UG::Sovereign_State",11832
New Caledonia,"<img src=""ug-flag-new_caledonia.svg"" />","<img src=""ug-map-new_caledonia.png"" />",UG::Oceania,273674
Niue,"<img src=""ug-flag-niue.svg"" />","<img src=""ug-map-niue.png"" />","UG::Oceania, UG::Sovereign_State",1549
Northern Cyprus,"<img src=""ug-flag-northern_cyprus.svg"" />","<img src=""ug-map-northern_cyprus.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State",382836
Saint Kitts and Nevis,"<img src=""ug-flag-saint_kitts_and_nevis.svg"" />","<img src=""ug-map-saint_kitts_and_nevis.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State",47195
Samoa,"<img src=""ug-flag-samoa.svg"" />","<img src=""ug-map-samoa.png"" />","UG::Oceania, UG::Sovereign_State",205557
Somaliland,"<img src=""ug-flag-somaliland.svg"" />","<img src=""ug-map-somaliland.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",4500000
South Sudan,"<img src=""ug-flag-south_sudan.svg"" />","<img src=""ug-map-south_sudan.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",13249924
Tuvalu,"<img src=""ug-flag-tuvalu.svg"" />","<img src=""ug-map-tuvalu.png"" />","UG::Oceania, UG::Sovereign_State",10679
United States Virgin Islands,"<img src=""ug-flag-united_states_virgin_islands.svg"" />","<img src=""ug-map-united_states_virgin_islands.png"" />","UG::Caribbean, UG::North_America",87146
Åland Islands,"<img src=""ug-flag-aland_islands.svg"" />","<img src=""ug-map-aland_islands.png"" />",UG::Europe,30533
South Ossetia,"<img src=""ug-flag-south_ossetia.svg"" />","<img src=""ug-map-south_ossetia.png"" />","UG::Asia, UG::Sovereign_State",56520
American Samoa,,"<img src=""ug-map-american_samoa.png"" />",UG::Oceania,49710
Northern Mariana Islands,,"<img src=""ug-map-northern_mariana_islands.png"" />",UG::Oceania,47329
Aruba,"<img src=""ug-flag-aruba.svg"" />","<img src=""ug-map-aruba.png"" />","UG::Caribbean, UG::North_America",106739
Abkhazia,"<img src=""ug-flag-abkhazia.svg"" />","<img src=""ug-map-abkhazia.png"" />","UG::Europe, UG::Sovereign_State",245424
Sint Maarten,,"<img src=""ug-map-sint_maarten.png"" />","UG::Caribbean, UG::North_America",42938
Republic of Artsakh,"<img src=""ug-flag-republic_of_artsakh.svg"" />","<img src=""ug-map-republic_of_artsakh.png"" />","UG::Asia, UG::Sovereign_State",120000
Tonga,"<img src=""ug-flag-tonga.svg"" />","<img src=""ug-map-tonga.png"" />","UG::Oceania, UG::Sovereign_State",100179
Transnistria,"<img src=""ug-flag-transnistria.svg"" />","<img src=""ug-map-transnistria.png"" />","UG::Europe, UG::Sovereign_State",360938
Sardinia,,"<img src=""ug-map-sardinia.png"" />",UG::Europe,1628384
Kaliningrad Oblast,,"<img src=""ug-map-kaliningrad_oblast.png"" />",UG::Europe,1029966
Martinique,,"<img src=""ug-map-martinique.png"" />","UG::Caribbean, UG::North_America",361225
Java,,"<img src=""ug-map-java.png"" />",UG::Asia,151600000
Corsica,,"<img src=""ug-map-corsica.png"" />",UG::Europe,351255
European Union,"<img src=""ug-flag-european_union.svg"" />","<img src=""ug-map-european_union.png"" />",UG::Europe,448387872
Gulf of Mexico,,"<img src=""ug-map-gulf_of_mexico.png"" />",UG::Oceans+Seas,
Philippine Sea,,"<img src=""ug-map-philippine_sea.png"" />",UG::Oceans+Seas,
Southern Ocean,,"<img src=""ug-map-southern_ocean-nobox.png"" />",UG::Oceans+Seas,
Gulf of Thailand,,"<img src=""ug-map-gulf_of_thailand.png"" />",UG::Oceans+Seas,
Micronesia,,"<img src=""ug-map-micronesia.png"" />",UG::Oceania,
Pacific Ocean,,"<img src=""ug-map-pacific_ocean-nobox.png"" />",UG::Oceans+Seas,
Atlantic Ocean,,"<img src=""ug-map-atlantic_ocean-nobox.png"" />",UG::Oceans+Seas,
Indian Ocean,,"<img src=""ug-map-indian_ocean-nobox.png"" />",UG::Oceans+Seas,
Arctic Ocean,,"<img src=""ug-map-arctic_ocean-nobox.png"" />",UG::Oceans+Seas,
Hudson Bay,,"<img src=""ug-map-hudson_bay.png"" />",UG::Oceans+Seas,
Labrador Sea,,"<img src=""ug-map-labrador_sea.png"" />",UG::Oceans+Seas,
White Sea,,"<img src=""ug-map-white_sea.png"" />",UG::Oceans+Seas,
Denmark Strait,,"<img src=""ug-map-denmark_strait.png"" />",UG::Oceans+Seas,
Norwegian Sea,,"<img src=""ug-map-norwegian_sea.png"" />",UG::Oceans+Seas,
Baltic Sea,,"<img src=""ug-map-baltic_sea.png"" />",UG::Oceans+Seas,
Celtic Sea,,"<img src=""ug-map-celtic_sea.png"" />",UG::Oceans+Seas,
English Channel,,"<img src=""ug-map-english_channel.png"" />",UG::Oceans+Seas,
Adriatic Sea,,"<img src=""ug-map-adriatic_sea.png"" />",UG::Oceans+Seas,
Bay of Biscay,,"<img src=""ug-map-bay_of_biscay.png"" />",UG::Oceans+Seas,
Black Sea,,"<img src=""ug-map-black_sea.png"" />",UG::Oceans+Seas,
Aegean Sea,,"<img src=""ug-map-aegean_sea.png"" />",UG::Oceans+Seas,
Balkan Peninsula,,"<img src=""ug-map-balkan_peninsula.png"" />",UG::Europe,
Caspian Sea,,"<img src=""ug-map-caspian_sea.png"" />",UG::Oceans+Seas,
Mediterranean Sea,,"<img src=""ug-map-mediterranean_sea.png"" />",UG::Oceans+Seas,
East Siberian Sea,,"<img src=""ug-map-east_siberian_sea.png"" />",UG::Oceans+Seas,
Bering Strait,,"<img src=""ug-map-bering_strait.png"" />",UG::Oceans+Seas,
Arabian Sea,,"<img src=""ug-map-arabian_sea.png"" />",UG::Oceans+Seas,
Red Sea,,"<img src=""ug-map-red_sea.png"" />",UG::Oceans+Seas,
Dead Sea,,"<img src=""ug-map-dead_sea.png"" />",UG::Oceans+Seas,
Bay of Bengal,,"<img src=""ug-map-bay_of_bengal.png"" />",UG::Oceans+Seas,
Sea of Japan,,"<img src=""ug-map-sea_of_japan.png"" />",UG::Oceans+Seas,
Yellow Sea,,"<img src=""ug-map-yellow_sea.png"" />",UG::Oceans+Seas,
Coral Sea,,"<img src=""ug-map-coral_sea.png"" />",UG::Oceans+Seas,
South China Sea,,"<img src=""ug-map-south_china_sea.png"" />",UG::Oceans+Seas,
Tasman Sea,,"<img src=""ug-map-tasman_sea.png"" />",UG::Oceans+Seas,
Gulf of Carpentaria,,"<img src=""ug-map-gulf_of_carpentaria.png"" />",UG::Oceans+Seas,
Aral Sea,,"<img src=""ug-map-aral_sea.png"" />",UG::Oceans+Seas,
Persian Gulf,,"<img src=""ug-map-persian_gulf.png"" />",UG::Oceans+Seas,
Caribbean Sea,,"<img src=""ug-map-caribbean_sea.png"" />",UG::Oceans+Seas,
Gulf of California,,"<img src=""ug-map-gulf_of_california.png"" />",UG::Oceans+Seas,
Polynesia,,"<img src=""ug-map-polynesia.png"" />",UG::Oceania,
Melanesia,,"<img src=""ug-map-melanesia.png"" />",UG::Oceania,
Scandinavia,,"<img src=""ug-map-scandinavia.png"" />",UG::Europe,
Sea of Galilee,,"<img src=""ug-map-sea_of_galilee.png"" />",UG::Oceans+Seas,
Sumatra,,"<img src=""ug-map-sumatra.png"" />",UG::Asia,59977300
Sicily,,"<img src=""ug-map-sicily.png"" />",UG::Europe,4969147
Mayotte,,"<img src=""ug-map-mayotte.png"" />","UG::Africa, UG::East_Africa",310022
Réunion,,"<img src=""ug-map-reunion.png"" />","UG::Africa, UG::East_Africa",873102
Falkland Islands,,"<img src=""ug-map-falkland_islands.png"" />",UG::South_America,3662
Europe,,"<img src=""ug-map-europe-nobox.png"" />",UG::Continents,
North America,,"<img src=""ug-map-north_america-nobox.png"" />",UG::Continents,
South America,,"<img src=""ug-map-south_america-nobox.png"" />",UG::Continents,
Asia,,"<img src=""ug-map-asia-nobox.png"" />",UG::Continents,
Africa,,"<img src=""ug-map-africa-nobox.png"" />",UG::Continents,
Oceania,,"<img src=""ug-map-oceania-nobox.png"" />",UG::Continents,
Antarctica,,"<img src=""ug-map-antarctica-nobox.png"" />",UG::Continents,
Saint Martin,,"<img src=""ug-map-saint_martin.png"" />","UG::Caribbean, UG::North_America",32358
Wallis and Futuna,,"<img src=""ug-map-wallis_and_futuna.png"" />",UG::Oceania,11369
Akrotiri and Dhekelia,,"<img src=""ug-map-akrotiri_and_dhekelia.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East",18195
Svalbard,,"<img src=""ug-map-svalbard.png"" />",UG::Europe,2530
Hawaii,,"<img src=""ug-map-hawaii.png"" />",UG::Oceania,1455271
Alaska,,"<img src=""ug-map-alaska.png"" />",UG::North_America,736081
Bougainville,,"<img src=""ug-map-bougainville.png"" />",UG::Oceania,249358
Jeju,,"<img src=""ug-map-jeju.png"" />",UG::Asia,678324
Banda Sea,,"<img src=""ug-map-banda_sea.png"" />",UG::Oceans+Seas,
Barents Sea,,"<img src=""ug-map-barents_sea.png"" />",UG::Oceans+Seas,
Celebes Sea,,"<img src=""ug-map-celebes_sea.png"" />",UG::Oceans+Seas,
East China Sea,,"<img src=""ug-map-east_china_sea.png"" />",UG::Oceans+Seas,
Gulf of Alaska,,"<img src=""ug-map-gulf_of_alaska.png"" />",UG::Oceans+Seas,
Gulf of Guinea,,"<img src=""ug-map-gulf_of_guinea.png"" />",UG::Oceans+Seas,
North Sea,,"<img src=""ug-map-north_sea.png"" />",UG::Oceans+Seas,
Sea of Okhotsk,,"<img src=""ug-map-sea_of_okhotsk.png"" />",UG::Oceans+Seas,
Timor Sea,,"<img src=""ug-map-timor_sea.png"" />",UG::Oceans+Seas,
